日期,代码,名称,收盘价,涨跌幅,趋势,热度,热度排名,大单净额,量比,换手率,成交额,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量
2026-05-19,688182.SH,灿勤科技,43.84,20.01%,开,2910,348,0万元,2.91,50474.0,1165.52亿,175.36万,7.5,7.0,5.3,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,300212.SZ,*ST易录,8.26,14.40%,开,9380,597,0万元,9.38,51867.0,65.49亿,57.70万,6.9,6.7,5.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,002178.SZ,延华智能,6.14,10.04%,开,3430,462,0万元,3.43,14863.0,24.43亿,43.70万,6.5,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,605218.SH,伟时电子,21.29,10.03%,开,4690,298,0万元,4.69,20685.0,9.98亿,45.31万,6.5,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,600021.SH,上海电力,18.45,10.02%,开,2230,11,0万元,2.23,112788.0,63.02亿,520.52万,6.5,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,002135.SZ,东南网架,8.9,10.01%,开,2650,445,0万元,2.65,23836.0,27.68亿,92.90万,6.5,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,002173.SZ,创新医疗,25.39,10.01%,开,5850,461,0万元,5.85,61790.0,24.62亿,106.86万,6.5,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,002067.SZ,景兴纸业,5.28,10.00%,开,5700,419,0万元,5.7,40250.0,76.24亿,70.63万,6.5,6.5,4.7,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,603178.SH,圣龙股份,23.76,10.00%,开,9720,231,0万元,9.72,52885.0,22.98亿,56.17万,6.5,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,002272.SZ,川润股份,22.67,10.00%,开,16079,504,0万元,16.08,144598.0,65.62亿,92.52万,6.5,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,603082.SH,北自科技,51.18,9.99%,开,12100,194,0万元,12.1,25119.0,4.91亿,20.76万,6.5,6.5,4.7,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,002150.SZ,正泰电源,32.7,9.99%,开,4000,453,0万元,4.0,46050.0,14.36亿,117.24万,6.5,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,603206.SH,嘉环科技,21.03,9.99%,开,5050,243,0万元,5.05,31302.0,15.42亿,64.18万,6.5,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,688039.SH,当虹科技,51.13,9.93%,开,5110,313,0万元,5.11,28275.0,564.64亿,56.55万,6.5,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-19,300166.SZ,东方国信,21.35,9.49%,开,16329,583,0万元,16.33,307979.0,147.91亿,193.38万,6.4,6.5,4.6,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
