日期,代码,名称,市场板块,收盘价,涨跌幅,趋势,热度,热度排名,大单净额,量比,换手率,成交额,成交量(手),昨日成交量(手),成交量对比,量能状态,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量
2026-05-22,300476.SZ,胜宏科技,创业板,359.73,8.55%,开,16666432,1,0万元,1.96,1652369.0,46.30亿,463010,472732,-2.06%,正常,3112.37万,6.4,6.4,4.6,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,603986.SH,兆易创新,沪市主板,444.78,2.98%,开,14815640,2,0万元,1.03,1470073.0,32.62亿,326186,632398,-48.42%,缩量,2970.44万,5.8,6.1,4.2,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002384.SZ,东山精密,深市主板,219.55,6.08%,开,10570770,3,0万元,1.07,1044038.0,48.28亿,482768,899478,-46.33%,缩量,3043.67万,6.1,6.3,4.4,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,688008.SH,澜起科技,科创板,269.0,2.61%,开,10339475,4,0万元,0.68,1022645.0,3784.18亿,37841830,112004367,-66.21%,缩量,3083.89万,5.8,6.1,4.2,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300308.SZ,中际旭创,创业板,1018.06,2.49%,开,9881922,5,0万元,0.81,976948.0,9.59亿,95863,237726,-59.68%,缩量,1.13亿,5.7,6.1,4.2,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300502.SZ,新易盛,创业板,579.84,2.45%,开,8717836,6,0万元,0.91,860561.0,14.87亿,148653,328097,-54.69%,缩量,5144.80万,5.7,6.1,4.2,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600584.SH,长电科技,沪市主板,68.32,2.21%,开,8704281,7,0万元,0.82,859321.0,128.62亿,1286227,3125058,-58.84%,缩量,1222.53万,5.7,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002463.SZ,沪电股份,深市主板,111.92,7.93%,开,8560243,8,0万元,1.96,842061.0,75.41亿,754120,770834,-2.17%,正常,2152.01万,6.3,6.4,4.5,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,000988.SZ,华工科技,深市主板,154.69,0.47%,开,7362240,9,0万元,0.77,725987.0,46.50亿,464996,1211819,-61.63%,缩量,1554.61万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300274.SZ,阳光电源,创业板,166.29,0.55%,开,7190561,10,0万元,0.74,708781.0,41.95亿,419466,1133162,-62.98%,缩量,2644.04万,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300394.SZ,天孚通信,创业板,352.68,4.59%,开,7154198,11,0万元,0.96,703126.0,20.06亿,200616,418305,-52.04%,缩量,2742.43万,6.0,6.2,4.3,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,688256.SH,寒武纪,科创板,1292.05,0.09%,开,6647415,12,0万元,0.66,654697.0,505.09亿,5050910,15339509,-67.07%,缩量,8117.86万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,603435.SH,N嘉德,沪市主板,140.8,793.40%,开,6293115,13,0万元,0.0,222611.0,22.63亿,226320,0,0%,缩量,50.25万,84.8,45.7,56.9,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,601138.SH,工业富联,沪市主板,66.32,1.25%,开,5968039,14,0万元,0.85,586178.0,88.94亿,889365,2096550,-57.58%,缩量,1.32亿,5.6,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002475.SZ,立讯精密,深市主板,70.67,4.13%,开,5940517,15,0万元,0.85,581989.0,82.75亿,827531,1947986,-57.52%,缩量,5137.20万,5.9,6.2,4.3,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002407.SZ,多氟多,深市主板,42.95,5.24%,开,5260929,16,0万元,0.85,513471.0,123.22亿,1232196,2896919,-57.47%,缩量,463.33万,6.0,6.3,4.3,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600522.SH,中天科技,沪市主板,43.34,3.44%,开,5082373,17,0万元,0.75,496519.0,115.02亿,1150177,3085398,-62.72%,缩量,1479.17万,5.8,6.2,4.2,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,688525.SH,佰维存储,科创板,304.93,1.31%,开,4964108,18,0万元,0.0,485758.0,1572.29亿,15722930,0,0%,缩量,1435.72万,5.6,6.1,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600183.SH,生益科技,沪市主板,106.85,8.82%,开,4951548,19,0万元,1.25,480745.0,45.52亿,455164,726707,-37.37%,缩量,2558.52万,6.4,6.4,4.6,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301308.SZ,江波龙,创业板,543.77,0.88%,开,4652474,20,0万元,0.89,454805.0,8.24亿,82381,185749,-55.65%,缩量,1532.63万,5.6,6.0,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300750.SZ,宁德时代,创业板,413.7,0.50%,开,4417134,21,0万元,0.62,431462.0,10.45亿,104471,338672,-69.15%,缩量,1.76亿,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300408.SZ,三环集团,创业板,108.84,10.53%,开,4325075,22,0万元,1.5,417242.0,37.76亿,377602,503859,-25.06%,正常,2035.09万,6.6,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600487.SH,亨通光电,沪市主板,70.26,0.52%,开,4172115,23,0万元,0.71,406954.0,57.52亿,575171,1630204,-64.72%,缩量,1717.98万,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002436.SZ,兴森科技,深市主板,35.06,5.32%,开,4161454,24,0万元,1.0,403487.0,114.34亿,1143409,2285549,-49.97%,缩量,532.19万,6.0,6.3,4.4,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002428.SZ,云南锗业,深市主板,85.5,2.03%,开,3801563,25,0万元,0.89,369142.0,42.59亿,425950,958975,-55.58%,缩量,558.35万,5.7,6.1,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,603228.SH,景旺电子,沪市主板,82.5,10.00%,开,3567400,26,0万元,1.46,341740.0,41.71亿,417077,571667,-27.04%,正常,805.03万,6.5,6.5,4.7,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300395.SZ,菲利华,创业板,134.78,4.97%,开,3498054,27,0万元,1.16,337321.0,25.05亿,250525,430655,-41.83%,缩量,689.41万,6.0,6.2,4.3,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002916.SZ,深南电路,深市主板,371.73,8.10%,开,3491233,28,0万元,1.26,335074.0,9.03亿,90309,142900,-36.80%,缩量,2471.30万,6.3,6.4,4.5,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600176.SH,中国巨石,沪市主板,37.18,4.67%,开,3407667,29,0万元,0.98,328430.0,88.16亿,881604,1800636,-51.04%,缩量,1488.37万,6.0,6.2,4.3,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
