日期,代码,名称,收盘价,涨跌幅,开盘价,最高价,最低价,趋势,热度,热度排名,大单净额,量比,换手率,成交额,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量
2026-05-19,688182.SH,灿勤科技,43.84,20.010949904188344,39.2,43.84,39.2,开,0,0,0,0,49016.0,1132.25亿,175.36万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300212.SZ,*ST易录,8.26,14.40443213296399,7.58,8.36,7.47,开,0,0,0,0,51103.0,64.58亿,57.70万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,688039.SH,当虹科技,51.69,11.137389808643302,46.9,53.0,46.6,开,0,0,0,0,27455.0,548.78亿,57.17万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002178.SZ,延华智能,6.14,10.035842293906803,5.58,6.14,5.57,开,0,0,0,0,14796.0,24.32亿,43.70万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,605218.SH,伟时电子,21.29,10.02583979328164,19.35,21.29,19.35,开,0,0,0,0,20675.0,9.98亿,45.31万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600021.SH,上海电力,18.45,10.017889087656528,16.8,18.45,16.56,开,0,0,0,0,107560.0,60.18亿,520.52万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002135.SZ,东南网架,8.9,10.012360939431403,8.1,8.9,8.01,开,0,0,0,0,23596.0,27.41亿,92.90万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002173.SZ,创新医疗,25.39,10.008665511265175,24.42,25.39,24.2,开,0,0,0,0,61527.0,24.52亿,106.86万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002067.SZ,景兴纸业,5.28,10.000000000000009,5.28,5.28,5.21,开,0,0,0,0,40044.0,75.85亿,70.63万,0,0,0,价升,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603178.SH,圣龙股份,23.76,10.0,21.7,23.76,21.4,开,0,0,0,0,52738.0,22.92亿,56.17万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002272.SZ,川润股份,22.67,9.995147986414374,20.75,22.67,20.65,开,0,0,0,0,143646.0,65.20亿,92.52万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603082.SH,北自科技,51.18,9.993552546744034,51.18,51.18,51.17,开,0,0,0,0,25084.0,4.90亿,20.76万,0,0,0,价升,行情收盘价上穿5日,未分类,未分类,0
