代码,名称,收盘价,涨跌幅,技术形态,买入信号,MA5,MA10,MA20,MA60,布林带上轨,布林线中轨,布林线下轨,布林带位置,MACD_DIF,MACD_DEA,MACD柱,MACD信号,多头排列
000006.SZ,深振业Ａ,10.88,4.02%,阳线||多头排列||布林带下轨||MA5上穿MA10,多头排列,749.73,747.52,731.95,695.6,837.46,731.95,626.44,下轨下方,7.97,17.41,-18.88,死叉,是
000007.SZ,全新好,12.46,7.23%,阳线||布林带下轨,观望,164.43,187.4,205.69,202.24,276.58,205.69,134.81,下轨下方,-13.67,-2.44,-22.48,无信号,否
000008.SZ,神州高铁,2.62,0.38%,阳线||布林带下轨,观望,79.21,83.28,84.37,88.55,97.07,84.37,71.66,下轨下方,-3.04,-1.23,-3.61,无信号,否
000009.SZ,中国宝安,7.76,0.13%,价升||布林带下轨,观望,88.16,95.37,102.45,108.6,129.17,102.45,75.74,下轨下方,-7.25,-3.4,-7.71,无信号,否
000011.SZ,深物业A,7.56,1.34%,阳线||布林带下轨,观望,33.32,35.3,36.7,38.41,44.62,36.7,28.79,下轨下方,-1.94,-0.81,-2.26,无信号,否
000012.SZ,南  玻Ａ,4.4,10.00%,阳线||布林带下轨,观望,134.71,140.99,147.96,159.31,176.41,147.96,119.52,下轨下方,-8.18,-4.79,-6.78,无信号,否
000014.SZ,沙河股份,11.37,1.61%,阳线||布林带下轨,观望,128.64,139.49,147.92,159.42,182.16,147.92,113.67,下轨下方,-10.51,-5.41,-10.2,无信号,否
000016.SZ,*ST康佳A,3.3,1.23%,阳线||布林带下轨,观望,65.95,67.15,68.14,70.46,74.99,68.14,61.29,下轨下方,-1.28,-0.75,-1.08,死叉,否
000017.SZ,深中华A,5.71,1.96%,阳线||布林带下轨,观望,16.72,17.8,18.78,20.85,22.27,18.78,15.29,下轨下方,-1.27,-0.8,-0.94,无信号,否
000020.SZ,深华发Ａ,13.21,3.20%,阳线,观望,22.01,22.58,24.25,25.92,28.01,24.25,20.5,布林带内,-1.23,-0.99,-0.48,无信号,否
000021.SZ,深科技,37.73,3.74%,阳线||多头排列||MA5上穿MA10,多头排列,436.91,421.4,391.53,373.94,462.97,391.53,320.09,布林带内,19.92,16.71,6.41,无信号,是
000025.SZ,特  力Ａ,14.88,1.78%,阳线||布林带下轨,观望,37.04,40.1,42.02,44.36,52.71,42.02,31.33,下轨下方,-2.59,-0.95,-3.26,无信号,否
000026.SZ,飞亚达,25.55,9.99%,阳线||多头排列||MA5上穿MA10,多头排列,182.25,178.6,169.24,147.79,193.63,169.24,144.85,布林带内,9.2,9.21,-0.02,死叉,是
000027.SZ,深圳能源,7.31,0.83%,阳线||布林带下轨,观望,92.83,93.4,92.08,91.45,98.02,92.08,86.15,下轨下方,0.34,0.84,-1.0,死叉,否
000029.SZ,深深房Ａ,25.5,3.36%,阳线,观望,52.18,53.31,48.01,44.14,62.41,48.01,33.61,布林带内,2.22,2.95,-1.47,死叉,否
000030.SZ,富奥股份,4.71,0.43%,价升||布林带下轨,观望,17.32,18.46,19.33,20.08,23.78,19.33,14.88,下轨下方,-1.06,-0.39,-1.33,无信号,否
000032.SZ,深桑达Ａ,19.19,0.31%,价升||布林带下轨||MA5上穿MA10,观望,67.3,67.21,65.9,66.08,71.16,65.9,60.64,下轨下方,0.19,0.36,-0.34,死叉,否
000034.SZ,神州数码,29.07,3.78%,阳线,观望,,,,,,,,,,,,,
000036.SZ,华联控股,5.44,0.74%,阳线||布林带下轨,观望,45.95,48.46,47.69,45.76,54.63,47.69,40.75,下轨下方,-0.09,0.95,-2.07,无信号,否
000037.SZ,深南电A,9.89,2.91%,阳线||布林带下轨,观望,48.75,51.6,52.66,51.37,59.1,52.66,46.21,下轨下方,-1.1,0.09,-2.39,无信号,否
000039.SZ,中集集团,10.33,1.37%,阳线||布林带下轨,观望,403.38,446.09,457.25,462.16,567.61,457.25,346.88,下轨下方,-19.57,-0.56,-38.01,无信号,否
000042.SZ,中洲控股,10.03,0.10%,阳线||布林带下轨,观望,124.03,126.73,123.71,118.65,139.98,123.71,107.45,下轨下方,0.93,2.75,-3.64,死叉,否
000045.SZ,深纺织Ａ,12.2,3.30%,阳线||布林带下轨,观望,33.18,34.39,34.58,36.46,39.09,34.58,30.07,下轨下方,-1.05,-0.49,-1.12,死叉,否
000049.SZ,德赛电池,27.42,3.79%,阳线||布林带下轨,观望,186.59,202.07,214.54,209.98,271.77,214.54,157.31,下轨下方,-10.7,-1.37,-18.68,无信号,否
000050.SZ,深天马Ａ,7.95,4.61%,阳线||布林带下轨,观望,61.39,63.73,66.17,71.23,75.37,66.17,56.97,下轨下方,-2.86,-1.87,-1.98,无信号,否
000055.SZ,方大集团,3.59,2.28%,阳线||布林带下轨,观望,36.05,38.15,38.8,39.99,47.88,38.8,29.72,下轨下方,-1.51,-0.2,-2.61,无信号,否
000058.SZ,深 赛 格,7.58,0.66%,价升||布林带下轨,观望,22.62,24.0,24.54,25.3,28.4,24.54,20.68,下轨下方,-0.89,-0.27,-1.24,无信号,否
000060.SZ,中金岭南,7.57,10.03%,阳线||布林带下轨,观望,341.7,372.55,367.67,359.39,457.89,367.67,277.44,下轨下方,-5.9,7.63,-27.06,无信号,否
000061.SZ,农 产 品,6.53,0.77%,价升||布林带下轨,观望,160.89,169.88,177.38,195.13,201.11,177.38,153.65,下轨下方,-8.69,-5.74,-5.9,无信号,否
000062.SZ,深圳华强,34.63,4.21%,阳线,观望,,,,,,,,,,,,,
000063.SZ,中兴通讯,35.64,2.33%,阳线||布林带下轨,观望,544.86,565.63,570.54,555.62,634.89,570.54,506.19,下轨下方,-5.77,5.78,-23.12,无信号,否
000066.SZ,中国长城,20.93,3.10%,价升,观望,190.42,206.35,193.85,165.15,249.15,193.85,138.55,布林带内,8.42,13.27,-9.71,无信号,否
000070.SZ,特发信息,18.48,2.72%,阳线||布林带下轨,观望,58.96,64.19,65.5,61.99,80.14,65.5,50.87,下轨下方,-2.06,0.46,-5.04,无信号,否
000090.SZ,天健集团,3.31,1.22%,阳线||布林带下轨,观望,29.58,32.04,33.35,35.0,42.9,33.35,23.8,下轨下方,-2.05,-0.66,-2.79,无信号,否
000100.SZ,TCL科技,4.38,0.23%,阳线||布林带下轨,观望,13.81,14.23,14.42,15.0,16.26,14.42,12.59,下轨下方,-0.38,-0.14,-0.47,死叉,否
000151.SZ,中成股份,11.57,1.31%,阳线||布林带下轨,观望,28.68,29.42,29.19,30.17,32.53,29.19,25.85,下轨下方,-0.43,-0.05,-0.77,死叉,否
000153.SZ,丰原药业,6.0,1.01%,阳线||布林带下轨,观望,45.33,48.85,50.88,53.11,63.41,50.88,38.36,下轨下方,-2.97,-1.06,-3.82,无信号,否
000157.SZ,中联重科,7.3,0.41%,价升||布林带下轨,观望,498.45,526.55,545.02,587.54,629.53,545.02,460.51,下轨下方,-27.14,-15.59,-23.1,无信号,否
000158.SZ,常山北明,15.45,0.19%,阳线||布林带下轨,观望,42.3,44.9,46.96,49.99,54.55,46.96,39.37,下轨下方,-2.24,-1.14,-2.19,无信号,否
000159.SZ,国际实业,7.09,4.26%,阳线||布林带下轨,观望,21.43,21.51,21.61,21.89,24.9,21.61,18.33,下轨下方,-0.24,0.08,-0.65,死叉,否
