日期,代码,名称,收盘价,涨跌幅,趋势,热度,热度排名,大单净额,量比,换手率,成交额,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量
2026-05-18,688143SH,长盈通,129.84,20.0,开,0,0,0,0,352156.0,2884.62亿,158.89万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,300212SZ,*ST易录,7.22,19.933554817275752,开,0,0,0,0,26399.0,36.75亿,50.43万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,300259SZ,新天科技,6.3,19.31818181818181,开,0,0,0,0,150680.0,245.89亿,73.68万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,300163SZ,先锋新材,5.1,12.831858407079649,开,0,0,0,0,39647.0,79.25亿,23.29万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,300136SZ,信维通信,111.75,12.187531372352174,开,0,0,0,0,1458683.0,132.71亿,922.16万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,300042SZ,朗科科技,72.7,11.93225558121632,开,0,0,0,0,357562.0,50.11亿,145.68万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,300077SZ,国民技术,27.64,11.004016064257037,开,0,0,0,0,328968.0,122.96亿,156.53万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,688069SH,德林海,63.5,10.936408106219424,开,0,0,0,0,53546.0,879.50亿,71.75万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,603060SH,国检集团,7.13,10.030864197530855,开,0,0,0,0,12338.0,17.60亿,57.32万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,603191SH,望变电气,22.18,10.019841269841267,开,0,0,0,0,75436.0,34.57亿,73.19万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,002208SZ,合肥城建,22.84,10.019267822736023,开,0,0,0,0,14375.0,6.29亿,183.42万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,000021SZ,深科技,37.03,10.01188354129532,开,0,0,0,0,345588.0,94.69亿,582.87万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,603206SH,嘉环科技,19.12,10.011507479861923,开,0,0,0,0,25225.0,13.50亿,58.35万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,600032SH,浙江新能,11.21,10.009813542688924,开,0,0,0,0,125843.0,115.40亿,269.56万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,601133SH,柏诚股份,31.0,10.00709723207949,开,0,0,0,0,34467.0,11.18亿,162.56万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,605218SH,伟时电子,19.35,10.005685048322919,开,0,0,0,0,14297.0,7.45亿,41.18万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,600183SH,生益科技,98.95,10.00555864369094,开,0,0,0,0,727119.0,75.33亿,2369.36万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,603156SH,养元饮品,51.46,10.004275331338178,开,0,0,0,0,133461.0,26.22亿,648.54万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,603082SH,北自科技,46.53,10.00000000000001,开,0,0,0,0,97034.0,21.12亿,18.87万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
2026-05-18,603031SH,安孚科技,54.89,10.000000000000005,开,0,0,0,0,105010.0,19.57亿,172.57万,0,0,0,价升量涨||阳线||放量,行情收盘价上穿5日,未分类,未分类,0
